timestamps,TP9,AF7,AF8,TP10
1641303832.537,7.812,-31.250,-23.438,-20.020
1641303832.541,-117.188,-28.809,-21.484,39.062
1641303832.545,-95.215,-31.250,-27.344,24.902
1641303832.549,42.969,-34.668,-35.645,-32.227
1641303832.553,111.328,-27.344,-35.645,-65.430
1641303832.557,18.555,-30.762,-31.738,-14.648
1641303832.561,-118.652,-33.691,-36.621,39.062
1641303832.564,-127.930,-32.715,-40.039,33.691
1641303832.568,2.930,-37.598,-35.156,-11.719
1641303832.572,104.004,-29.785,-30.273,-76.660
1641303832.576,41.992,-24.902,-26.855,-51.270
1641303832.580,-109.375,-32.227,-27.344,13.184
1641303832.586,-144.043,-31.250,-28.809,6.348
1641303832.590,-8.301,-33.691,-20.996,-42.969
1641303832.594,104.980,-39.551,-21.973,-89.355
1641303832.598,44.922,-40.527,-20.508,-61.523
1641303832.602,-102.539,-38.086,-8.789,5.371
1641303832.606,-145.020,-39.062,-10.742,18.555
1641303832.610,-29.785,-43.945,-20.508,-29.785
1641303832.613,89.355,-50.781,-28.809,-79.590
1641303832.617,74.219,-40.039,-16.602,-50.293
1641303832.621,-66.406,-33.203,-9.277,16.602
1641303832.625,-137.207,-36.621,-15.137,38.574
1641303832.629,-41.504,-40.527,-17.578,-1.465
1641303832.628,89.844,-44.434,-18.555,-71.289
1641303832.632,83.984,-40.527,-14.160,-51.270
1641303832.636,-61.523,-45.410,-14.160,27.832
1641303832.640,-152.832,-41.016,-11.719,49.805
1641303832.644,-72.754,-37.598,-16.113,6.348
1641303832.648,79.590,-42.480,-24.414,-57.129
1641303832.652,90.332,-46.875,-23.438,-62.988
1641303832.655,-56.152,-53.711,-27.344,6.348
1641303832.659,-140.625,-40.527,-25.879,42.969
1641303832.663,-58.594,-28.809,-26.367,25.879
1641303832.667,74.707,-33.691,-27.832,-44.434
1641303832.671,91.797,-36.133,-18.066,-79.102
1641303832.673,-41.992,-35.645,-9.277,-16.602
1641303832.677,-152.344,-38.086,-8.789,37.109
1641303832.681,-112.793,-44.922,-17.578,14.160
1641303832.685,33.203,-42.480,-20.508,-57.617
1641303832.689,104.980,-40.039,-22.461,-78.613
1641303832.693,-0.977,-42.480,-29.297,-10.742
1641303832.697,-138.672,-48.828,-27.344,44.434
1641303832.700,-106.445,-41.504,-13.672,25.391
1641303832.704,47.363,-33.203,-13.672,-34.180
